record_id,title,service_name,plan_name,business_category,record_type,citation_url,is_accepted,quality_score,quality_flags,rejection_reason,has_price,has_quota,has_units,has_minutes,has_sms,has_features,has_terms,content_length,source_url,raw_html_path
776b331c473f7edc13930c1db7fdb59ef5edb87ed2ca816e00200129ba111964,WE Business Value Plans | Corporate Mobile Packages in Egypt - TE Business,WE Business Value Plans | Corporate Mobile Packages in Egypt - TE Business,WE Business Value Plans | Corporate Mobile Packages in Egypt - TE Business,business_mobile_services,business_plan,https://te.eg/web/te-business/we-buissnes-value,True,0.87,scrapling_static_fetch;ui_noise_removed,,True,True,True,True,False,True,True,1177,https://te.eg/web/te-business/we-buissnes-value,data\scrape_business_scrapling_v1\01_raw_html\business\detail_pages\te.eg__web_te-business_we-buissnes-value_c228b7e6.html
ba154c7986c99059688d316306f841f055abde2960fd5e09a9dc5e87cc31e419,Units,Units,Units,business_mobile_services,business_plan,https://te.eg/web/te-business/we-buissnes-value,True,0.87,scrapling_static_fetch;ui_noise_removed,,False,False,False,False,False,False,False,319,https://te.eg/web/te-business/we-buissnes-value,data\scrape_business_scrapling_v1\01_raw_html\business\detail_pages\te.eg__web_te-business_we-buissnes-value_c228b7e6.html
2d4ccfa9ed6b1a30fc5a8adf96aac4d1bd638ca737b1b80cedfcf219abc2a929,Mobile Internet,Mobile Internet,Mobile Internet,business_mobile_services,business_plan,https://te.eg/web/te-business/we-buissnes-value,True,0.87,scrapling_static_fetch;ui_noise_removed,,False,True,False,False,False,False,False,386,https://te.eg/web/te-business/we-buissnes-value,data\scrape_business_scrapling_v1\01_raw_html\business\detail_pages\te.eg__web_te-business_we-buissnes-value_c228b7e6.html
8c8214c34d8d69ada1105fe61dc1062f970039e5d0bcf7ab49364a680f826480,Intra-Company Minutes,Intra-Company Minutes,Intra-Company Minutes,business_mobile_services,business_plan,https://te.eg/web/te-business/we-buissnes-value,True,0.87,scrapling_static_fetch;ui_noise_removed,,False,False,False,False,False,False,False,351,https://te.eg/web/te-business/we-buissnes-value,data\scrape_business_scrapling_v1\01_raw_html\business\detail_pages\te.eg__web_te-business_we-buissnes-value_c228b7e6.html
039e5f4b3b77606834534d52be92dab53809eaead25f0c73d1f72605419a11d3,WE Business Prepaid | Corporate Mobile Voice & Internet Bundles | Telecom Egypt - TE Business,WE Business Prepaid | Corporate Mobile Voice & Internet Bundles | Telecom Egypt - TE Business,WE Business Prepaid | Corporate Mobile Voice & Internet Bundles | Telecom Egypt - TE Business,business_mobile_services,business_plan,https://te.eg/web/te-business/we-business-prepaid,True,0.87,scrapling_static_fetch;ui_noise_removed,,True,True,True,True,False,True,True,1330,https://te.eg/web/te-business/we-business-prepaid,data\scrape_business_scrapling_v1\01_raw_html\business\detail_pages\te.eg__web_te-business_we-business-prepaid_ce14942c.html
9713e5211d8710119bd6b8b4b304cf625007d7de3829060f29f657ae0f55eea5,Mobile internet MBs,Mobile internet MBs,Mobile internet MBs,business_mobile_services,business_plan,https://te.eg/web/te-business/we-business-prepaid,True,0.87,scrapling_static_fetch;ui_noise_removed,,False,False,False,False,False,False,False,397,https://te.eg/web/te-business/we-business-prepaid,data\scrape_business_scrapling_v1\01_raw_html\business\detail_pages\te.eg__web_te-business_we-business-prepaid_ce14942c.html
4821211de4738bd66a052243a007eeb484702abf506442c626cb2e8a0c83a20a,Units,Units,Units,business_mobile_services,business_plan,https://te.eg/web/te-business/we-business-prepaid,True,0.87,scrapling_static_fetch;ui_noise_removed,,False,False,False,False,False,False,False,367,https://te.eg/web/te-business/we-business-prepaid,data\scrape_business_scrapling_v1\01_raw_html\business\detail_pages\te.eg__web_te-business_we-business-prepaid_ce14942c.html
6c8c7f03525743d4d5949af6a6c0e9c1914ba19c3c92b798b4b3687b5a4841f1,Intra-Company Minutes,Intra-Company Minutes,Intra-Company Minutes,business_mobile_services,business_plan,https://te.eg/web/te-business/we-business-prepaid,True,0.87,scrapling_static_fetch;ui_noise_removed,,False,False,False,False,False,False,False,395,https://te.eg/web/te-business/we-business-prepaid,data\scrape_business_scrapling_v1\01_raw_html\business\detail_pages\te.eg__web_te-business_we-business-prepaid_ce14942c.html
aa2de6542e0f3d5f0884ad8d729be234fe589e4e4d4ccd214147a73c57b54193,WE Business Internet | 4G Mobile Data Bundles for Corporates | Telecom Egypt - TE Business,WE Business Internet | 4G Mobile Data Bundles for Corporates | Telecom Egypt - TE Business,,business_mobile_services,business_service,https://te.eg/web/te-business/we-buissnes-internet,True,0.87,scrapling_static_fetch;ui_noise_removed,,False,True,False,False,False,True,False,1265,https://te.eg/web/te-business/we-buissnes-internet,data\scrape_business_scrapling_v1\01_raw_html\business\detail_pages\te.eg__web_te-business_we-buissnes-internet_3a9bf8e1.html
c60f17f9f7332dfd7f9f2ea9e03ab77e34e2d613171ae3f04337ef33b1354d38,WE Business Internet 15,WE Business Internet 15,WE Business Internet 15,business_mobile_services,business_plan,https://te.eg/web/te-business/we-buissnes-internet,True,0.87,scrapling_static_fetch;ui_noise_removed,,False,True,False,False,False,False,False,381,https://te.eg/web/te-business/we-buissnes-internet,data\scrape_business_scrapling_v1\01_raw_html\business\detail_pages\te.eg__web_te-business_we-buissnes-internet_3a9bf8e1.html
